reward: 0.5280, Epoch: 220, params: 2287969, epoch_time: 17.9471, genotype: [[1, [0, 1, 7, 0], [4, 0, 2, 6], [2, 6, 10, 1]], [[2, 2], [3, 3], [3, 2]]]
reward: 0.0031, Epoch: 221, params: 2073985, epoch_time: 2.8613, genotype: [[9, [1, 1, 0, 2], [1, 1, 3, 5], [0, 0, 0, 2]], [[1, 0], [2, 3], [0, 0]]]
reward: 0.7445, Epoch: 222, params: 2078881, epoch_time: 16.6343, genotype: [[7, [1, 1, 9, 3], [0, 4, 2, 0], [0, 4, 3, 5]], [[1, 3], [0, 0], [1, 4]]]
reward: 0.0011, Epoch: 223, params: 2417857, epoch_time: 3.6745, genotype: [[5, [0, 1, 2, 6], [3, 3, 1, 2], [3, 1, 5, 8]], [[0, 0], [3, 3], [0, 4]]]
reward: 0.5912, Epoch: 224, params: 2052385, epoch_time: 24.6115, genotype: [[5, [1, 0, 2, 3], [2, 1, 4, 0], [2, 6, 10, 10]], [[1, 3], [4, 2], [5, 5]]]
reward: 0.0574, Epoch: 225, params: 2150881, epoch_time: 3.0384, genotype: [[9, [0, 0, 8, 9], [4, 1, 10, 1], [1, 6, 5, 2]], [[2, 0], [3, 0], [0, 4]]]
reward: 0.6963, Epoch: 226, params: 2271265, epoch_time: 21.4500, genotype: [[1, [1, 0, 1, 5], [2, 1, 2, 10], [4, 6, 7, 9]], [[3, 1], [2, 1], [5, 5]]]
reward: 0.0055, Epoch: 227, params: 1963969, epoch_time: 2.5215, genotype: [[7, [0, 0, 7, 0], [0, 4, 7, 2], [3, 4, 10, 2]], [[3, 2], [0, 3], [0, 0]]]
reward: 0.0656, Epoch: 228, params: 2025601, epoch_time: 9.4875, genotype: [[10, [1, 1, 9, 3], [4, 1, 10, 9], [3, 4, 0, 6]], [[0, 0], [1, 2], [0, 3]]]
reward: 0.6768, Epoch: 229, params: 2079169, epoch_time: 19.6679, genotype: [[10, [1, 0, 7, 1], [3, 3, 3, 7], [3, 2, 7, 3]], [[2, 1], [3, 4], [5, 2]]]
reward: 0.0000, Epoch: 230, params: 2187169, epoch_time: 16.1232, genotype: [[5, [0, 1, 7, 5], [1, 0, 7, 7], [7, 4, 3, 10]], [[2, 0], [1, 2], [3, 2]]]
reward: 0.7434, Epoch: 231, params: 2268673, epoch_time: 22.8195, genotype: [[4, [0, 0, 6, 1], [0, 4, 5, 10], [3, 0, 7, 9]], [[3, 1], [0, 4], [3, 0]]]
reward: 0.6670, Epoch: 232, params: 2083489, epoch_time: 19.6268, genotype: [[9, [0, 1, 4, 3], [2, 1, 3, 2], [7, 6, 8, 1]], [[1, 2], [3, 3], [5, 2]]]
reward: 0.0000, Epoch: 233, params: 2153185, epoch_time: 15.6309, genotype: [[1, [1, 0, 9, 6], [3, 0, 8, 9], [1, 6, 9, 2]], [[0, 0], [2, 2], [0, 3]]]
reward: 0.6510, Epoch: 234, params: 1963105, epoch_time: 21.6247, genotype: [[4, [1, 0, 0, 9], [0, 3, 3, 8], [4, 5, 0, 0]], [[1, 3], [1, 1], [5, 2]]]
reward: 0.0009, Epoch: 235, params: 2074273, epoch_time: 2.8797, genotype: [[7, [1, 0, 9, 5], [1, 3, 2, 0], [6, 5, 3, 7]], [[1, 2], [0, 2], [3, 5]]]
reward: 0.5467, Epoch: 236, params: 2177665, epoch_time: 18.8587, genotype: [[10, [0, 1, 0, 7], [0, 0, 7, 7], [3, 1, 5, 6]], [[2, 3], [3, 3], [4, 3]]]
reward: 0.0000, Epoch: 237, params: 2167585, epoch_time: 12.4384, genotype: [[7, [1, 1, 9, 6], [3, 4, 1, 8], [1, 7, 0, 9]], [[1, 1], [3, 3], [0, 2]]]
reward: 0.0000, Epoch: 238, params: 2191777, epoch_time: 13.2984, genotype: [[8, [1, 1, 5, 2], [4, 1, 3, 10], [1, 7, 2, 1]], [[2, 3], [1, 3], [2, 0]]]
reward: 0.0045, Epoch: 239, params: 2182273, epoch_time: 3.0048, genotype: [[4, [1, 1, 1, 3], [2, 0, 10, 6], [5, 0, 7, 2]], [[0, 3], [0, 0], [1, 5]]]
reward: 0.0000, Epoch: 240, params: 2066785, epoch_time: 12.3025, genotype: [[0, [1, 0, 9, 0], [0, 0, 2, 6], [7, 0, 2, 0]], [[1, 1], [2, 3], [0, 3]]]
reward: 0.0656, Epoch: 241, params: 2194081, epoch_time: 2.9568, genotype: [[0, [0, 1, 0, 2], [0, 0, 0, 3], [3, 2, 5, 6]], [[3, 0], [1, 4], [3, 2]]]
